1,48,1
1,49,1
1,53,1
1,55,1
1,65,3
1,95,1
1,97,1
1,99,1
1,123,3
1,179,4
1,198,1
1,235,1
1,248,1
1,260,1
1,292,1
1,320,1
1,321,1
1,347,2
1,348,1
1,389,1
1,405,1
1,437,1
1,462,1
1,499,1
1,501,1
1,530,1
1,563,4
8,17,1
8,26,1
8,53,1
8,56,1
8,123,1
8,130,2
8,227,1
8,260,1
8,286,1
8,292,1
8,299,1
8,314,1
8,375,1
8,381,1
8,383,1
8,405,1
8,420,1
8,462,1
8,499,1
8,501,1
8,549,1
17,25,1
17,26,1
17,48,1
17,56,1
17,70,1
17,95,1
17,99,1
17,108,1
17,113,1
17,123,2
17,250,1
17,287,1
17,290,1
17,299,1
17,316,1
17,348,3
17,375,2
17,381,1
17,383,2
17,399,2
17,405,1
17,425,1
17,462,1
17,494,1
25,40,1
25,48,2
25,53,2
25,54,1
25,55,1
25,56,1
25,70,1
25,95,1
25,97,4
25,99,1
25,108,1
25,123,3
25,134,1
25,149,1
25,197,1
25,248,1
25,250,2
25,289,1
25,292,1
25,299,3
25,314,1
25,320,1
25,321,1
25,348,3
25,355,1
25,375,2
25,381,1
25,396,1
25,399,1
25,401,1
25,404,1
25,418,1
25,420,1
25,462,3
25,530,2
26,53,3
26,55,2
26,56,1
26,95,2
26,97,1
26,99,2
26,108,1
26,113,1
26,123,4
26,130,1
26,147,1
26,149,1
26,286,2
26,289,1
26,292,1
26,316,2
26,321,2
26,331,1
26,335,2
26,347,1
26,352,2
26,375,1
26,381,1
26,383,1
26,396,1
26,399,1
26,401,1
26,405,2
26,499,1
26,501,1
26,513,1
26,539,1
40,48,2
40,53,1
40,70,1
40,95,1
40,97,1
40,108,1
40,123,1
40,139,1
40,231,2
40,299,2
40,348,3
40,389,1
40,418,1
40,439,1
40,494,1
40,499,1
48,50,1
48,53,2
48,58,3
48,65,1
48,70,3
48,95,3
48,97,4
48,108,1
48,113,1
48,123,3
48,134,2
48,139,3
48,179,1
48,227,1
48,231,2
48,235,1
48,236,1
48,250,1
48,260,1
48,289,1
48,290,1
48,292,3
48,299,1
48,314,1
48,321,3
48,347,1
48,348,6
48,389,1
48,399,2
48,405,1
48,418,1
48,439,1
48,487,1
48,492,1
48,494,1
48,499,1
48,502,2
48,504,2
48,530,1
48,539,1
48,563,1
49,50,1
49,53,1
49,70,1
49,99,1
49,179,1
49,198,1
49,260,1
49,347,1
49,405,1
49,494,1
49,501,1
49,503,2
49,539,1
49,563,1
50,70,1
50,197,1
50,494,1
50,503,1
50,504,1
50,539,1
53,54,1
53,55,3
53,95,4
53,97,4
53,99,5
53,108,4
53,113,1
53,123,3
53,130,1
53,147,2
53,149,1
53,179,1
53,197,1
53,198,3
53,227,1
53,231,4
53,233,1
53,236,1
53,248,1
53,260,5
53,261,2
53,286,2
53,287,1
53,289,3
53,290,2
53,292,5
53,299,5
53,314,2
53,320,1
53,321,9
53,331,3
53,333,2
53,335,2
53,347,2
53,348,3
53,352,2
53,355,2
53,375,1
53,389,4
53,396,1
53,399,2
53,404,2
53,405,4
53,420,3
53,434,2
53,437,1
53,439,1
53,462,2
53,487,1
53,492,1
53,494,1
53,499,1
53,501,3
53,502,5
53,513,1
53,530,2
53,549,2
53,563,1
54,97,1
54,99,1
54,108,2
54,123,1
54,134,1
54,147,1
54,178,1
54,197,1
54,198,1
54,231,1
54,260,1
54,261,1
54,289,1
54,290,1
54,292,1
54,320,2
54,321,3
54,348,1
54,352,1
54,389,1
54,396,1
54,401,1
54,404,1
54,420,1
54,462,2
54,494,1
54,501,1
54,513,1
55,56,1
55,65,1
55,97,1
55,99,1
55,108,1
55,113,2
55,123,2
55,130,1
55,149,1
55,179,1
55,198,1
55,248,2
55,260,1
55,286,1
55,292,2
55,299,1
55,316,1
55,320,1
55,321,4
55,331,1
55,375,1
55,399,1
55,401,1
55,404,1
55,405,1
55,420,1
55,437,1
55,462,1
55,487,1
55,499,1
55,501,1
55,502,1
55,504,1
55,530,1
55,539,1
55,563,1
56,123,2
56,248,1
56,286,1
56,292,1
56,299,1
56,321,1
56,375,2
56,381,1
56,383,1
56,405,1
56,462,1
56,530,1
58,108,1
58,139,3
58,314,1
58,348,2
58,487,1
58,502,2
58,504,1
58,539,1
65,95,1
65,97,1
65,123,3
65,179,3
65,235,1
65,248,1
65,292,1
65,320,1
65,321,1
65,347,1
65,348,1
65,389,1
65,437,1
65,462,1
65,499,1
65,530,1
65,563,3
70,95,3
70,97,1
70,113,1
70,123,1
70,147,1
70,178,1
70,197,1
70,235,1
70,290,1
70,299,1
70,321,2
70,348,3
70,355,1
70,399,1
70,418,1
70,420,1
70,494,2
70,501,1
70,502,1
70,503,1
70,539,1
95,97,2
95,99,2
95,108,2
95,123,2
95,130,1
95,147,1
95,149,2
95,178,1
95,179,1
95,197,1
95,227,2
95,231,5
95,235,1
95,236,1
95,248,1
95,250,1
95,289,2
95,290,4
95,292,1
95,299,1
95,316,2
95,321,4
95,335,2
95,348,6
95,352,2
95,355,1
95,375,1
95,381,1
95,383,1
95,389,4
95,396,1
95,399,1
95,401,1
95,420,2
95,425,3
95,437,1
95,439,1
95,462,3
95,499,2
95,501,1
95,502,1
95,513,1
95,563,1
97,108,2
97,113,1
97,123,4
97,130,1
97,134,2
97,179,1
97,227,1
97,231,1
97,235,1
97,236,2
97,260,4
97,289,1
97,290,1
97,292,5
97,299,4
97,314,1
97,316,1
97,320,3
97,321,2
97,331,2
97,347,1
97,348,1
97,352,2
97,355,1
97,396,1
97,401,1
97,405,3
97,418,1
97,420,1
97,437,1
97,462,1
97,494,1
97,501,2
97,530,2
97,539,1
97,563,1
99,108,1
99,123,2
99,147,1
99,149,3
99,155,1
99,179,1
99,198,1
99,231,2
99,233,1
99,248,1
99,260,1
99,286,2
99,287,1
99,290,1
99,292,4
99,299,2
99,321,3
99,333,1
99,335,1
99,347,2
99,381,1
99,389,1
99,399,2
99,405,2
99,418,1
99,434,1
99,439,1
99,494,2
99,501,1
99,563,1
108,113,1
108,123,1
108,130,1
108,134,1
108,139,1
108,147,1
108,198,1
108,231,1
108,233,1
108,248,1
108,250,1
108,260,1
108,261,1
108,289,1
108,290,1
108,292,2
108,299,1
108,314,1
108,316,2
108,320,1
108,331,2
108,333,1
108,335,1
108,348,4
108,352,1
108,355,1
108,375,1
108,383,1
108,389,1
108,396,1
108,401,1
108,404,1
108,420,1
108,425,1
108,487,1
108,494,1
108,501,2
108,513,1
108,530,1
108,539,2
108,549,1
113,123,1
113,130,1
113,198,1
113,260,1
113,287,1
113,292,1
113,316,1
113,321,2
113,331,1
113,348,1
113,401,1
113,404,1
113,420,1
113,439,1
113,494,1
113,501,1
113,539,1
123,130,1
123,134,1
123,147,1
123,179,3
123,231,1
123,235,1
123,248,1
123,250,1
123,286,2
123,289,1
123,292,4
123,299,3
123,316,1
123,320,1
123,321,2
123,331,2
123,335,2
123,347,2
123,348,3
123,352,1
123,355,1
123,375,1
123,381,1
123,383,1
123,389,2
123,396,1
123,399,1
123,401,1
123,405,2
123,418,1
123,437,2
123,462,2
123,494,1
123,499,1
123,501,1
123,513,1
123,530,1
123,539,1
123,563,3
130,192,1
130,227,3
130,231,1
130,236,1
130,260,1
130,286,1
130,292,2
130,299,1
130,314,1
130,316,1
130,331,1
130,348,1
130,401,1
130,420,1
130,425,1
130,462,1
130,499,2
130,501,2
130,539,1
130,549,1
134,250,1
134,260,2
134,292,1
134,316,1
134,320,1
134,348,1
134,352,1
134,396,1
134,405,1
134,501,1
139,314,1
139,348,2
139,487,1
139,502,2
139,504,1
139,539,1
147,178,3
147,192,1
147,231,1
147,235,1
147,248,1
147,286,1
147,287,1
147,290,1
147,320,1
147,321,3
147,331,1
147,333,1
147,335,1
147,347,1
147,348,1
147,355,1
147,381,1
147,383,2
147,389,1
147,462,1
147,499,1
147,501,1
147,513,1
147,549,1
149,248,1
149,286,1
149,290,1
149,299,1
149,321,1
149,381,1
149,399,1
149,405,1
155,231,1
155,248,2
155,292,1
155,321,3
155,333,1
155,494,1
155,549,1
178,231,1
178,235,1
178,287,1
178,290,1
178,320,1
178,321,2
178,355,1
178,389,1
178,462,1
178,501,1
179,198,1
179,235,1
179,248,1
179,260,1
179,292,1
179,320,1
179,321,1
179,347,2
179,348,1
179,389,1
179,405,1
179,437,1
179,462,1
179,499,1
179,501,1
179,530,1
179,563,4
192,227,1
192,231,1
192,236,1
192,292,1
192,321,1
192,348,1
192,383,1
192,499,2
192,513,1
197,235,1
197,248,1
197,261,1
197,290,2
197,292,1
197,299,1
197,321,1
197,348,3
197,399,1
197,401,1
197,405,1
197,420,4
197,462,1
197,502,1
198,231,1
198,260,3
198,261,1
198,321,2
198,347,1
198,404,3
198,405,1
198,420,1
198,501,2
198,513,1
198,563,1
227,231,2
227,236,2
227,260,1
227,290,1
227,292,2
227,299,1
227,314,1
227,321,1
227,348,1
227,420,1
227,425,1
227,462,1
227,499,1
227,501,1
227,549,1
231,236,2
231,248,1
231,260,1
231,287,1
231,290,1
231,292,3
231,299,2
231,321,4
231,348,4
231,389,5
231,404,1
231,418,1
231,437,1
231,439,2
231,462,1
231,494,2
231,499,2
231,501,1
233,292,1
233,335,1
233,418,1
233,494,1
235,248,1
235,290,2
235,292,1
235,321,2
235,347,1
235,348,1
235,355,1
235,399,1
235,405,1
235,420,1
235,501,1
235,530,1
235,563,1
236,290,1
236,292,2
236,299,1
236,321,1
236,348,1
236,499,1
236,530,1
248,290,2
248,292,1
248,299,2
248,320,1
248,321,3
248,331,1
248,333,1
248,348,2
248,375,1
248,399,1
248,405,1
248,420,1
248,437,1
248,462,1
248,499,1
248,530,1
248,549,2
248,563,1
250,289,1
250,290,1
250,316,1
250,348,1
250,375,2
250,383,1
250,396,1
250,404,1
250,425,1
260,289,1
260,292,1
260,299,2
260,314,1
260,320,2
260,321,2
260,347,1
260,352,2
260,396,1
260,404,2
260,405,3
260,420,3
260,462,1
260,494,1
260,501,4
260,549,1
260,563,1
261,292,1
261,299,1
261,404,1
261,420,1
261,434,1
261,513,1
286,321,1
286,335,1
286,347,1
286,399,1
286,405,1
286,499,1
287,290,1
287,321,1
287,375,1
287,389,1
287,399,1
287,439,1
289,290,1
289,299,1
289,321,1
289,335,2
289,348,2
289,352,1
289,375,1
289,396,2
289,399,1
289,404,1
289,420,2
289,494,1
289,513,1
290,292,1
290,299,1
290,316,1
290,321,3
290,348,2
290,355,1
290,375,2
290,383,1
290,399,1
290,405,1
290,420,2
290,425,1
290,462,1
290,501,1
292,299,6
292,314,1
292,316,3
292,321,6
292,331,2
292,333,1
292,347,1
292,348,2
292,355,1
292,375,1
292,389,1
292,401,1
292,405,1
292,418,2
292,420,1
292,437,2
292,439,1
292,462,2
292,494,2
292,499,1
292,501,2
292,530,3
292,539,1
292,549,1
292,563,1
299,314,1
299,321,2
299,331,1
299,348,3
299,355,1
299,375,1
299,399,1
299,405,1
299,418,2
299,420,2
299,437,1
299,439,1
299,462,3
299,494,2
299,501,1
299,502,1
299,530,2
299,549,1
314,420,1
314,462,1
314,487,1
314,501,1
314,539,1
314,549,1
316,321,1
316,331,1
316,348,3
316,352,1
316,375,1
316,383,1
316,401,1
316,418,1
316,425,1
316,437,1
316,499,1
316,501,1
316,539,1
320,321,1
320,348,1
320,352,2
320,396,1
320,399,1
320,405,1
320,434,1
320,437,1
320,462,1
320,499,1
320,501,1
320,563,1
321,331,1
321,333,2
321,347,1
321,348,1
321,352,1
321,355,1
321,375,1
321,383,1
321,389,1
321,399,1
321,404,2
321,405,1
321,420,2
321,439,1
321,462,2
321,494,2
321,499,1
321,501,2
321,502,4
321,513,1
321,530,2
321,549,1
321,563,1
331,333,1
331,348,1
331,355,1
331,401,1
331,405,1
331,437,1
331,501,1
331,539,1
331,549,1
333,348,1
333,494,1
333,549,1
335,347,1
335,348,1
335,352,1
335,396,1
335,420,1
335,494,1
335,513,1
347,405,1
347,501,1
347,530,1
347,563,2
348,375,1
348,383,1
348,389,2
348,399,4
348,401,1
348,405,1
348,418,2
348,420,4
348,425,1
348,434,1
348,437,2
348,439,1
348,462,3
348,494,2
348,499,2
348,502,3
348,504,1
348,549,1
348,563,1
352,396,2
352,405,1
352,499,1
352,501,1
352,513,1
355,405,1
355,437,1
355,501,1
355,530,1
375,381,1
375,383,2
375,396,1
375,404,1
375,405,1
375,425,1
375,462,1
375,530,1
381,383,2
381,405,1
381,499,1
383,405,1
383,425,1
383,499,1
383,513,1
389,439,1
389,462,2
389,494,1
389,499,1
389,563,1
396,404,1
396,501,1
396,513,1
399,405,2
399,420,1
399,434,1
399,462,1
401,420,1
401,462,1
401,501,1
401,539,1
404,420,1
404,501,1
404,513,1
405,420,1
405,437,1
405,501,1
405,563,1
418,437,1
418,439,1
420,434,1
420,462,2
420,494,1
420,501,1
420,502,1
420,549,1
437,499,1
437,563,1
439,499,1
462,501,1
462,530,1
462,549,1
462,563,1
487,502,1
487,504,1
487,539,1
494,503,1
494,539,1
499,563,1
501,539,1
501,549,1
501,563,1
502,504,1
503,539,1
530,563,1
